,type,weight,dataset,source,target,key,srcid,tgtid,etid
36,partnership,0.8711762,MC1,Spanish Shrimp  Carriers,Playa de la Felicidad Oyj Cargo,0,U0000,U3123,4
37,membership,0.88794583,MC1,Spanish Shrimp  Carriers,77b46bc7-7e31-41a0-973c-e633011d21b0,0,U0000,U0060,2
38,membership,0.89960074,MC1,Spanish Shrimp  Carriers,âencounteredâ,0,U0000,U1021,2
39,family_relationship,0.89385,MC1,Spanish Shrimp  Carriers,f7a4114d-d1ca-44df-a7e0-c72e440671ba,0,U0000,U1103,1
40,membership,0.8977303,MC1,Spanish Shrimp  Carriers,39,0,U0000,U0685,2
41,partnership,0.85345495,MC1,Spanish Shrimp  Carriers,3433,0,U0000,U1423,4
42,family_relationship,0.954674,MC1,Spanish Shrimp  Carriers,Kara Sullivan,0,U0000,U1424,1
43,partnership,0.9264291,MC1,Spanish Shrimp  Carriers,52093e45-b873-4300-9612-8dfc291b1339,0,U0000,U0727,4
44,partnership,0.9294543,MC1,Spanish Shrimp  Carriers,200640636,0,U0000,U0249,4
45,partnership,0.90164447,MC1,Spanish Shrimp  Carriers,300668979,0,U0000,U0086,4
46,partnership,0.9337086,MC1,Spanish Shrimp  Carriers,Stacey Ortega,0,U0000,U1463,4
47,family_relationship,0.93725806,MC1,Spanish Shrimp  Carriers,285351,0,U0000,U1573,1
48,membership,0.85655963,MC1,Spanish Shrimp  Carriers,allAfrica,0,U0000,U1613,2
49,membership,0.9649751,MC1,Spanish Shrimp  Carriers,l y S.A. de C.V. International,0,U0000,U3124,2
50,membership,0.9384681,MC1,Spanish Shrimp  Carriers,b28d568f-09b4-41bd-b04d-4cf255f1adc6,0,U0000,U0352,2
51,ownership,0.8305824,MC1,Spanish Shrimp  Carriers,122245,0,U0000,U1281,3
52,family_relationship,0.8497422,MC1,Spanish Shrimp  Carriers,341411,0,U0000,U0008,1
53,membership,0.8640143,MC1,Spanish Shrimp  Carriers,Playa del Cielo Kga,0,U0000,U0271,2
54,ownership,0.8408453,MC1,Spanish Shrimp  Carriers,160,0,U0000,U1303,3
55,ownership,0.80696726,MC1,Spanish Shrimp  Carriers,903311212,0,U0000,U1481,3
56,membership,0.88245773,MC1,Spanish Shrimp  Carriers,SeaSpray Wave SRL Solutions,0,U0000,U3125,2
57,membership,0.8822255,MC1,Spanish Shrimp  Carriers,png xi  Line,0,U0000,U0253,2
58,membership,0.91648334,MC1,Spanish Shrimp  Carriers,Mar del Oeste Pic,0,U0000,U0377,2
59,ownership,0.8070168,MC1,Spanish Shrimp  Carriers,Ocean Fisheries Llc,0,U0000,U3126,3
60,family_relationship,0.80074245,MC1,Spanish Shrimp  Carriers,Ocean Fisheries Llc,1,U0000,U3126,1
61,ownership,0.91701066,MC1,12744,Spanish Shrimp  Carriers,0,U0001,U0000,3
62,partnership,0.9258137,MC1,12744,255â273,0,U0001,U0103,4
63,membership,0.90370446,MC1,12744,858,0,U0001,U2058,2
64,ownership,0.92168045,MC1,143129355,Spanish Shrimp  Carriers,0,U0002,U0000,3
65,membership,0.811439,MC1,143129355,pilot,0,U0002,U0375,2
66,membership,0.85087025,MC1,143129355,9699687,0,U0002,U0376,2
67,membership,0.89279175,MC1,143129355,Melinda Bentley,0,U0002,U1616,2
68,family_relationship,0.9460538,MC1,7775,Sean Vasquez,0,U0003,U0049,1
69,family_relationship,0.85230386,MC1,7775,196159,0,U0003,U0050,1
70,family_relationship,0.95881826,MC1,7775,755,0,U0003,U0051,1
71,family_relationship,0.8827995,MC1,7775,Ancla del Mar Ltd. Corporation,0,U0003,U3127,1
72,family_relationship,0.91212845,MC1,7775,95,0,U0003,U0080,1
73,family_relationship,0.937907,MC1,7775,185040354,0,U0003,U0006,1
74,membership,0.8675355,MC1,1017141,2591586,0,U0004,U0005,2
75,membership,0.880043,MC1,1017141,185040354,0,U0004,U0006,2
76,partnership,0.90195256,MC1,1017141,0,0,U0004,U0048,4
77,family_relationship,0.89889705,MC1,2591586,185040354,0,U0005,U0006,1
78,partnership,0.9113865,MC1,2591586,0,0,U0005,U0048,4
79,ownership,0.8243702,MC1,2591586,49,0,U0005,U0323,3
80,family_relationship,0.88491124,MC1,2591586,71352,0,U0005,U1172,1
81,ownership,0.8380731,MC1,2591586,60806,0,U0005,U1173,3
82,membership,0.8130386,MC1,2591586,SeaSpray Wave SRL Solutions,0,U0005,U3125,2
83,partnership,0.8093446,MC1,2591586,png xi  Line,0,U0005,U0253,4
84,partnership,0.8574063,MC1,185040354,4,0,U0006,U0045,4
85,partnership,0.9082395,MC1,185040354,77b46bc7-7e31-41a0-973c-e633011d21b0,0,U0006,U0060,4
86,partnership,0.9027907,MC1,185040354,7,0,U0006,U0061,4
87,ownership,0.90231067,MC1,185040354,35,0,U0006,U0062,3
88,partnership,0.9120527,MC1,185040354,Faroe Islands Shrimp Shark,0,U0006,U0007,4
89,partnership,0.9322683,MC1,185040354,6406040,0,U0006,U0063,4
90,family_relationship,0.9499722,MC1,185040354,290834957,0,U0006,U0054,1
91,partnership,0.8384497,MC1,185040354,Jamie Knox,0,U0006,U0064,4
92,partnership,0.8960208,MC1,185040354,0,0,U0006,U0048,4
93,ownership,0.84134257,MC1,185040354,3506021,0,U0006,U0077,3
94,ownership,0.80856466,MC1,185040354,664738735,0,U0006,U0053,3
95,ownership,0.9200609,MC1,185040354,2262,0,U0006,U0136,3
96,ownership,0.896637,MC1,185040354,5848,0,U0006,U0267,3
97,ownership,0.82721174,MC1,185040354,505943,0,U0006,U0699,3
98,partnership,0.8559051,MC1,185040354,Jerry Welch,0,U0006,U0786,4
99,partnership,0.85033315,MC1,185040354,23774,0,U0006,U1060,4
100,partnership,0.81937426,MC1,185040354,854,0,U0006,U1131,4
101,membership,0.9579221,MC1,185040354,903311212,0,U0006,U1481,2
102,membership,0.9049128,MC1,185040354,Mar del Oeste Pic,0,U0006,U0377,2
103,partnership,0.88091284,MC1,Faroe Islands Shrimp Shark,2591586,0,U0007,U0005,4
104,membership,0.89682174,MC1,Faroe Islands Shrimp Shark,185040354,0,U0007,U0006,2
105,family_relationship,0.8004607,MC1,Faroe Islands Shrimp Shark,185040354,1,U0007,U0006,1
106,membership,0.9179369,MC1,Faroe Islands Shrimp Shark,650512,0,U0007,U0017,2
107,partnership,0.915767,MC1,Faroe Islands Shrimp Shark,6406040,0,U0007,U0063,4
108,membership,0.9320071,MC1,Faroe Islands Shrimp Shark,290834957,0,U0007,U0054,2
109,family_relationship,0.80087644,MC1,Faroe Islands Shrimp Shark,Ancla Azul Company Solutions,0,U0007,U3116,1
110,family_relationship,0.80773896,MC1,Faroe Islands Shrimp Shark,245,0,U0007,U0085,1
111,family_relationship,0.9212231,MC1,Faroe Islands Shrimp Shark,551,0,U0007,U0144,1
112,family_relationship,0.8270625,MC1,Faroe Islands Shrimp Shark,5372,0,U0007,U0357,1
113,family_relationship,0.82179725,MC1,Faroe Islands Shrimp Shark,951093,0,U0007,U0358,1
114,family_relationship,0.84672105,MC1,Faroe Islands Shrimp Shark,Tamil Nadu S.p.A.,0,U0007,U3128,1
115,family_relationship,0.88316095,MC1,Faroe Islands Shrimp Shark,02cd44a1-7945-40d9-b38f-56f70976582c,0,U0007,U0365,1
116,family_relationship,0.8576304,MC1,Faroe Islands Shrimp Shark,7950,0,U0007,U0366,1
117,membership,0.847137,MC1,Faroe Islands Shrimp Shark,44,0,U0007,U0367,2
118,membership,0.82616806,MC1,Faroe Islands Shrimp Shark,41,0,U0007,U0368,2
119,membership,0.83704895,MC1,Faroe Islands Shrimp Shark,c1aeee2d-0030-4d85-b45c-ac3fd9887b98,0,U0007,U0547,2
120,partnership,0.90117604,MC1,Faroe Islands Shrimp Shark,98703,0,U0007,U0893,4
121,partnership,0.93715215,MC1,Faroe Islands Shrimp Shark,34,0,U0007,U0336,4
122,partnership,0.81411695,MC1,Faroe Islands Shrimp Shark,Spanish Shrimp  Carriers,0,U0007,U0000,4
123,partnership,0.89687985,MC1,Faroe Islands Shrimp Shark,Dana Goodwin,0,U0007,U0473,4
124,partnership,0.8262601,MC1,Faroe Islands Shrimp Shark,7691,0,U0007,U0403,4
125,partnership,0.81719506,MC1,Faroe Islands Shrimp Shark,380,0,U0007,U0146,4
126,ownership,0.86927295,MC1,Faroe Islands Shrimp Shark,OceanicOrigin Foods Co and Son's,0,U0007,U0955,3
127,ownership,0.83493114,MC1,Faroe Islands Shrimp Shark,852015,0,U0007,U0957,3
128,ownership,0.86684185,MC1,Faroe Islands Shrimp Shark,71317,0,U0007,U0956,3
129,membership,0.9012811,MC1,Faroe Islands Shrimp Shark,Act,0,U0007,U0212,2
130,membership,0.94861764,MC1,Faroe Islands Shrimp Shark,l y S.A. de C.V. International,0,U0007,U3124,2
131,partnership,0.81251955,MC1,Faroe Islands Shrimp Shark,16,0,U0007,U1225,4
132,partnership,0.88998085,MC1,Faroe Islands Shrimp Shark,âThese,0,U0007,U0817,4
133,partnership,0.821271,MC1,Faroe Islands Shrimp Shark,31,0,U0007,U0378,4
134,partnership,0.83774954,MC1,Faroe Islands Shrimp Shark,3506021,0,U0007,U0077,4
135,membership,0.92099714,MC1,Faroe Islands Shrimp Shark,Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,0,U0007,U3129,2
136,partnership,0.8437206,MC1,Faroe Islands Shrimp Shark,PC,0,U0007,U1221,4
137,partnership,0.84527004,MC1,Faroe Islands Shrimp Shark,39,0,U0007,U0685,4
138,partnership,0.80260277,MC1,Faroe Islands Shrimp Shark,7298083,0,U0007,U0124,4
139,family_relationship,0.80869645,MC1,Faroe Islands Shrimp Shark,FiTI,0,U0007,U3130,1
140,ownership,0.91337633,MC1,Faroe Islands Shrimp Shark,48,0,U0007,U0691,3
141,membership,0.82293105,MC1,Faroe Islands Shrimp Shark,43685541,0,U0007,U0706,2
142,partnership,0.94451296,MC1,Faroe Islands Shrimp Shark,Marie Lee,0,U0007,U1236,4
143,family_relationship,0.84685665,MC1,Faroe Islands Shrimp Shark,49,0,U0007,U0323,1
144,membership,0.8082731,MC1,Faroe Islands Shrimp Shark,449820,0,U0007,U1600,2
145,family_relationship,0.8115202,MC1,Faroe Islands Shrimp Shark,Victoria,0,U0007,U3131,1
146,family_relationship,0.854292,MC1,Faroe Islands Shrimp Shark,73166320,0,U0007,U1687,1
147,partnership,0.83002937,MC1,Faroe Islands Shrimp Shark,262157542,0,U0007,U0484,4
148,partnership,0.9467771,MC1,Faroe Islands Shrimp Shark,faf.20363,0,U0007,U3095,4
149,family_relationship,0.80275244,MC1,Faroe Islands Shrimp Shark,Christopher Cunningham,0,U0007,U3049,1
150,family_relationship,0.80719465,MC1,Faroe Islands Shrimp Shark,Christopher Cunningham,1,U0007,U3049,1
151,family_relationship,0.90827155,MC1,Faroe Islands Shrimp Shark,589,0,U0007,U0034,1
152,family_relationship,0.8224123,MC1,Faroe Islands Shrimp Shark,94,0,U0007,U0229,1
153,ownership,0.92168885,MC1,Faroe Islands Shrimp Shark,Mr. Joseph Johnson,0,U0007,U1234,3
154,partnership,0.83362126,MC1,Faroe Islands Shrimp Shark,720,0,U0007,U1576,4
155,membership,0.91618645,MC1,Faroe Islands Shrimp Shark,fdcbe098-dbe6-4e52-8bd7-96cf3ae30101,0,U0007,U1577,2
156,partnership,0.88314736,MC1,Faroe Islands Shrimp Shark,767,0,U0007,U1115,4
157,family_relationship,0.8398377,MC1,Faroe Islands Shrimp Shark,Master,0,U0007,U3132,1
158,partnership,0.89321953,MC1,Faroe Islands Shrimp Shark,Michael Andrews,0,U0007,U2345,4
159,ownership,0.9304359,MC1,Faroe Islands Shrimp Shark,Sarah Garcia,0,U0007,U2352,3
160,ownership,0.9054944,MC1,Faroe Islands Shrimp Shark,Jessica James,0,U0007,U2353,3
161,ownership,0.9223005,MC1,Faroe Islands Shrimp Shark,26794528-86a5-4b5e-802f-50c3f226c66b,0,U0007,U2354,3
162,ownership,0.8002637,MC1,Faroe Islands Shrimp Shark,c01c6a10-60c9-4f11-9409-aa04c3963826,0,U0007,U2328,3
163,ownership,0.8422154,MC1,Faroe Islands Shrimp Shark,57,0,U0007,U0209,3
164,membership,0.8259138,MC1,Faroe Islands Shrimp Shark,9550,0,U0007,U2485,2
165,family_relationship,0.83669424,MC1,Faroe Islands Shrimp Shark,46901627,0,U0007,U2503,1
166,ownership,0.8761594,MC1,Faroe Islands Shrimp Shark,Faurtil FÃ¡brica Urnas TietÃª,0,U0007,U3133,3
167,ownership,0.8191037,MC1,Faroe Islands Shrimp Shark,Turkish Mussels Ltd. Liability Co Marine biology,0,U0007,U3134,3
168,ownership,0.8986532,MC1,Faroe Islands Shrimp Shark,Leslie Williams,0,U0007,U2712,3
169,partnership,0.8249205,MC1,Faroe Islands Shrimp Shark,83951569,0,U0007,U2767,4
170,membership,0.80356675,MC1,Faroe Islands Shrimp Shark,577a9358-a718-4d90-a90e-88f88c58160d,0,U0007,U2854,2
171,family_relationship,0.82205546,MC1,Faroe Islands Shrimp Shark,b120bc86-764c-4e2b-9f36-1587f91a20e3,0,U0007,U2905,1
172,family_relationship,0.8200454,MC1,Faroe Islands Shrimp Shark,6c7a8222-efc7-41a6-809a-043b091ae04a,0,U0007,U0617,1
173,ownership,0.8693283,MC1,Faroe Islands Shrimp Shark,Sarah Hays,0,U0007,U2384,3
174,ownership,0.87307334,MC1,Faroe Islands Shrimp Shark,8541598,0,U0007,U2260,3
175,membership,0.8320456,MC1,Faroe Islands Shrimp Shark,6731,0,U0007,U0168,2
176,partnership,0.9050164,MC1,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,0,U0007,U3084,4
177,partnership,0.8558467,MC1,Faroe Islands Shrimp Shark,979893388,0,U0007,U0901,4
178,family_relationship,0.8614878,MC1,Faroe Islands Shrimp Shark,341411,0,U0007,U0008,1
179,partnership,0.8672443,MC1,Faroe Islands Shrimp Shark,341411,1,U0007,U0008,4
180,family_relationship,0.88049114,MC1,Faroe Islands Shrimp Shark,Playa del Cielo Kga,0,U0007,U0271,1
181,family_relationship,0.8554233,MC1,Faroe Islands Shrimp Shark,Playa del Cielo Kga,1,U0007,U0271,1
182,family_relationship,0.83714163,MC1,Faroe Islands Shrimp Shark,png xi  Line,0,U0007,U0253,1
183,family_relationship,0.89177126,MC1,Faroe Islands Shrimp Shark,png xi  Line,1,U0007,U0253,1
184,membership,0.8417909,MC1,Faroe Islands Shrimp Shark,png xi  Line,2,U0007,U0253,2
185,ownership,0.86580426,MC1,Faroe Islands Shrimp Shark,png xi  Line,3,U0007,U0253,3
186,ownership,0.8793665,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,0,U0007,U3125,3
187,ownership,0.88534224,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,1,U0007,U3125,3
188,family_relationship,0.8202867,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,2,U0007,U3125,1
189,membership,0.82755584,MC1,Faroe Islands Shrimp Shark,903311212,0,U0007,U1481,2
190,partnership,0.8062242,MC1,341411,21323516,0,U0008,U0009,4
191,membership,0.8733182,MC1,341411,Lisa Jimenez,0,U0008,U0039,2
192,membership,0.9089618,MC1,341411,526269,0,U0008,U0058,2
193,partnership,0.95340335,MC1,341411,99575926,0,U0008,U0066,4
194,family_relationship,0.9426687,MC1,341411,290834957,0,U0008,U0054,1
195,membership,0.9565551,MC1,341411,72371354,0,U0008,U0067,2
196,ownership,0.8608428,MC1,341411,55,0,U0008,U0068,3
197,ownership,0.82686514,MC1,341411,766649,0,U0008,U0069,3
198,membership,0.8264447,MC1,341411,Brian Nelson,0,U0008,U0152,2
199,partnership,0.9071883,MC1,341411,664738735,0,U0008,U0053,4
200,ownership,0.9090691,MC1,341411,âdevil vesselsâ,0,U0008,U0414,3
201,ownership,0.88596994,MC1,341411,1,0,U0008,U0040,3
202,partnership,0.81400937,MC1,341411,1,1,U0008,U0040,4
203,membership,0.8828208,MC1,341411,8c53a730-3aa1-463f-aef6-999a3cfbfb70,0,U0008,U0729,2
204,membership,0.8868463,MC1,341411,19,0,U0008,U0690,2
205,membership,0.8219815,MC1,341411,47679,0,U0008,U0091,2
206,membership,0.92915547,MC1,341411,47679,1,U0008,U0091,2
207,membership,0.85579586,MC1,341411,Mar del Paraso SRL Shipping,0,U0008,U3135,2
208,partnership,0.8233436,MC1,341411,3506021,0,U0008,U0077,4
209,ownership,0.8065772,MC1,341411,683962,0,U0008,U1337,3
210,partnership,0.9103383,MC1,341411,Kathleen Gates,0,U0008,U1344,4
211,partnership,0.82448506,MC1,341411,82408558,0,U0008,U1514,4
212,partnership,0.8219258,MC1,341411,New Bedford Light,0,U0008,U3136,4
213,membership,0.8893693,MC1,341411,f94bcae5-b023-48f6-a0d5-ff2f01cc00ed,0,U0008,U1516,2
214,membership,0.90387654,MC1,341411,f6cca381-c55e-44cc-b685-6c4139459b96,0,U0008,U1515,2
215,family_relationship,0.9422639,MC1,341411,d0123474-8425-4ab0-90d5-175920158638,0,U0008,U0092,1
216,ownership,0.8707887,MC1,341411,933c4581-7ecc-4377-995c-7a200fee617b,0,U0008,U1614,3
217,membership,0.9078944,MC1,341411,Spanish Shrimp  Carriers,0,U0008,U0000,2
218,partnership,0.9073893,MC1,341411,James Berry,0,U0008,U1728,4
219,ownership,0.8066812,MC1,341411,Sonia Fisheries Pvt,0,U0008,U3137,3
220,ownership,0.9280179,MC1,341411,Pesquera,0,U0008,U3138,3
221,partnership,0.9262474,MC1,341411,838200939,0,U0008,U1834,4
222,partnership,0.83361137,MC1,341411,860600018,0,U0008,U0197,4
223,partnership,0.8820587,MC1,341411,83951569,0,U0008,U2767,4
224,membership,0.8444066,MC1,341411,yearbook2036,0,U0008,U3083,2
225,partnership,0.92390555,MC1,341411,79538,0,U0008,U0703,4
226,membership,0.8601562,MC1,341411,Kevin Norton,0,U0008,U0704,2
227,ownership,0.9336032,MC1,341411,Howard Pierce,0,U0008,U0749,3
228,membership,0.81375825,MC1,341411,Jessica Brown,0,U0008,U0875,2
229,membership,0.8221274,MC1,341411,70,0,U0008,U0887,2
230,family_relationship,0.84565026,MC1,341411,85117949,0,U0008,U0076,1
231,membership,0.88210094,MC1,341411,DOFâs,0,U0008,U3139,2
232,partnership,0.92742187,MC1,341411,DOFâs,1,U0008,U3139,4
233,membership,0.8772003,MC1,341411,Last,0,U0008,U0471,2
234,family_relationship,0.8767541,MC1,341411,Irish Sea Seaside GmbH & Co. KG Distribution,0,U0008,U3140,1
235,family_relationship,0.9013175,MC1,341411,Irish Sea Seaside GmbH & Co. KG Distribution,1,U0008,U3140,1
236,family_relationship,0.8545139,MC1,341411,Faroe Islands Shrimp Shark,0,U0008,U0007,1
237,family_relationship,0.91822976,MC1,341411,Faroe Islands Shrimp Shark,1,U0008,U0007,1
238,family_relationship,0.8366485,MC1,341411,Faroe Islands Shrimp Shark,2,U0008,U0007,1
239,membership,0.91906863,MC1,341411,Faroe Islands Shrimp Shark,3,U0008,U0007,2
240,family_relationship,0.8083655,MC1,341411,235866056,0,U0008,U0280,1
241,family_relationship,0.8277229,MC1,341411,235866056,1,U0008,U0280,1
242,ownership,0.8248288,MC1,341411,28379,0,U0008,U0855,3
243,partnership,0.9121435,MC1,341411,Jason Neal,0,U0008,U3003,4
244,family_relationship,0.82984716,MC1,341411,b8f8208c-0388-484e-a700-b4c265170827,0,U0008,U3088,1
245,family_relationship,0.8854589,MC1,341411,1aa47ffc-05a8-4edd-a8e0-94c10b650bd8,0,U0008,U3089,1
246,family_relationship,0.8394572,MC1,341411,Wendy Duarte,0,U0008,U0652,1
247,membership,0.87030923,MC1,341411,weeks,0,U0008,U0390,2
248,membership,0.80907315,MC1,341411,40213337,0,U0008,U0391,2
249,ownership,0.8905956,MC1,341411,cutters,0,U0008,U0392,3
250,family_relationship,0.92843395,MC1,341411,Timothy Cuevas,0,U0008,U0285,1
251,family_relationship,0.9182399,MC1,341411,Joshua Glover,0,U0008,U0286,1
252,family_relationship,0.93056244,MC1,341411,Tara Villegas,0,U0008,U0287,1
253,family_relationship,0.8811106,MC1,341411,75399,0,U0008,U1574,1
254,family_relationship,0.92926365,MC1,341411,75399,1,U0008,U1574,1
255,partnership,0.9224263,MC1,341411,28,0,U0008,U0242,4
256,family_relationship,0.85933393,MC1,341411,Christopher Cunningham,0,U0008,U3049,1
257,family_relationship,0.8710709,MC1,341411,Christopher Cunningham,1,U0008,U3049,1
258,membership,0.8699977,MC1,341411,Christopher Cunningham,2,U0008,U3049,2
259,family_relationship,0.8185814,MC1,341411,b8567859-bf54-49fd-8332-5775e19c65af,0,U0008,U3084,1
260,membership,0.95098346,MC1,341411,b8567859-bf54-49fd-8332-5775e19c65af,1,U0008,U3084,2
261,membership,0.88443977,MC1,341411,967900443,0,U0008,U0038,2
262,family_relationship,0.8054692,MC1,341411,967900443,1,U0008,U0038,1
263,membership,0.84088117,MC1,341411,months,0,U0008,U0227,2
264,membership,0.88695025,MC1,341411,Janice Bell,0,U0008,U1002,2
265,membership,0.9484805,MC1,341411,George Morton,0,U0008,U1001,2
266,family_relationship,0.8229683,MC1,341411,98,0,U0008,U0284,1
267,family_relationship,0.82096106,MC1,341411,96,0,U0008,U1586,1
268,family_relationship,0.8558071,MC1,341411,93,0,U0008,U1584,1
269,family_relationship,0.8466374,MC1,341411,Olivia Bailey,0,U0008,U1585,1
270,family_relationship,0.8563299,MC1,341411,Uttar Pradesh Sp,0,U0008,U3141,1
271,partnership,0.88428277,MC1,341411,Debra Davis,0,U0008,U1839,4
272,partnership,0.89817876,MC1,341411,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32,0,U0008,U0710,4
273,partnership,0.9114424,MC1,341411,Estrella de Coral Ltd. Corporation Logistics,0,U0008,U3142,4
274,partnership,0.8078936,MC1,341411,Laura Jimenez,0,U0008,U3070,4
275,family_relationship,0.82944757,MC1,341411,2028,0,U0008,U3052,1
276,membership,0.9409724,MC1,341411,f514483d-fb5f-4cb2-bb8d-b616b10336d8,0,U0008,U3106,2
277,ownership,0.91772944,MC1,341411,âVikingâ,0,U0008,U0026,3
278,ownership,0.80674386,MC1,341411,26676370,0,U0008,U0114,3
279,family_relationship,0.9010364,MC1,341411,Saltwater Solitude GmbH & Co. KG,0,U0008,U0024,1
280,ownership,0.8530793,MC1,341411,PRK,0,U0008,U0025,3
281,family_relationship,0.85398763,MC1,341411,Viento Azul Harbor LLC Investment,0,U0008,U0115,1
282,family_relationship,0.8874889,MC1,341411,Viking fishing,0,U0008,U0116,1
283,family_relationship,0.8081889,MC1,341411,175,0,U0008,U0400,1
284,family_relationship,0.836042,MC1,341411,95,0,U0008,U0080,1
285,family_relationship,0.8728973,MC1,341411,expect year,0,U0008,U1179,1
286,membership,0.88727766,MC1,341411,43685541,0,U0008,U0706,2
287,partnership,0.80781865,MC1,341411,Bryan Hill,0,U0008,U1246,4
288,partnership,0.87063706,MC1,341411,Michele Henry,0,U0008,U0498,4
289,membership,0.8304546,MC1,341411,58db776e-40f1-4e68-b13d-dcc42416ce58,0,U0008,U1247,2
290,membership,0.8565332,MC1,341411,73704,0,U0008,U1232,2
291,membership,0.92350876,MC1,341411,Amanda Mckenzie,0,U0008,U0131,2
292,membership,0.87692744,MC1,341411,Gulf of Guinea  Corporation,0,U0008,U3143,2
293,partnership,0.8918229,MC1,341411,Christopher Simon,0,U0008,U1144,4
294,partnership,0.89730024,MC1,341411,Robert Nguyen,0,U0008,U1270,4
295,partnership,0.9633033,MC1,341411,âfirst,0,U0008,U1438,4
296,partnership,0.97595835,MC1,341411,âinitiallyâ,0,U0008,U1714,4
297,ownership,0.8260966,MC1,341411,c01c6a10-60c9-4f11-9409-aa04c3963826,0,U0008,U2328,3
298,membership,0.9036867,MC1,341411,Ms. Stephanie Rivera DDS,0,U0008,U0170,2
299,partnership,0.8866799,MC1,341411,540613204,0,U0008,U2537,4
300,ownership,0.89258456,MC1,341411,46901627,0,U0008,U2503,3
301,family_relationship,0.8797047,MC1,341411,Seabreeze Foods Corporation Logistics,0,U0008,U3144,1
302,ownership,0.90522873,MC1,341411,Kimberly Williams,0,U0008,U2835,3
